LG	Marker	Position
1	Affx-86798822	11092
1	Affx-86836542	116910
1	Affx-86785182	124297
1	Affx-86806726	125003
1	Affx-86807160	232093
1	Affx-86839083	232945
1	Affx-86812098	234600
1	Affx-86797070	234934
1	Affx-86779805	235154
1	Affx-86791583	238709
1	Affx-86830697	240056
1	Affx-86826640	240994
1	Affx-86780794	255184
1	Affx-86794032	259704
1	Affx-86811403	260240
1	Affx-86781508	261020
1	Affx-86796846	264189
1	Affx-86779999	265286
1	Affx-86794737	266054
1	Affx-86833146	266884
1	Affx-86832258	268025
1	Affx-86811406	268345
1	Affx-86795089	268379
1	Affx-86815471	269524
1	Affx-86802708	282359
1	Affx-86803849	294809
1	Affx-86803851	294847
1	Affx-86790370	295101
1	Affx-86788112	295209
1	Affx-86820808	298723
1	Affx-86799922	312776
1	Affx-86824498	319278
1	Affx-86812246	353492
1	Affx-86780476	355253
1	Affx-86789198	355367
1	Affx-86796324	357145
1	Affx-86825412	373607
1	Affx-86829708	374021
1	Affx-86827128	374727
1	Affx-86810966	376137
1	Affx-86797932	376629
1	Affx-86811249	397258
1	Affx-86842494	397336
1	Affx-86811251	398116
1	Affx-86843115	400304
1	Affx-86781698	401286
1	Affx-86796773	402408
1	Affx-86811253	404154
1	Affx-86779009	426003
1	Affx-86786246	437351
1	Affx-86805627	437890
1	Affx-86839734	441400
1	Affx-86825730	441546
1	Affx-86809311	449039
1	Affx-86783233	449446
1	Affx-86796616	453331
1	Affx-86793143	456479
1	Affx-86822181	457370
1	Affx-86806978	484548
1	Affx-86776345	484577
1	Affx-86806976	484959
1	Affx-86806974	485088
1	Affx-86784991	485931
1	Affx-86796451	487002
1	Affx-86805521	487053
1	Affx-86786355	492850
1	Affx-86790296	493831
1	Affx-86786633	501129
1	Affx-86805259	501199
1	Affx-86794162	501369
1	Affx-86786714	502030
1	Affx-86817752	502674
1	Affx-86805182	503399
1	Affx-86796704	507688
1	Affx-86842374	508008
1	Affx-86824362	572296
1	Affx-86825924	615781
1	Affx-86777657	647862
1	Affx-86792707	723095
1	Affx-86799144	742825
1	Affx-86840248	743362
1	Affx-86814472	745743
1	Affx-86826994	766816
1	Affx-86793253	768482
1	Affx-86789548	768796
1	Affx-86825301	769920
1	Affx-86821061	774849
1	Affx-86797764	829693
1	Affx-86831909	830259
1	Affx-86842650	862711
1	Affx-86828685	862757
1	Affx-86781545	1161011
1	Affx-86822388	1166344
1	Affx-86781355	1355648
1	Affx-86805110	1357170
1	Affx-86786790	1357581
1	Affx-86836566	1371289
1	Affx-86821369	1371778
1	Affx-86823665	1455757
1	Affx-86825954	1458150
1	Affx-86829972	1464207
1	Affx-86821495	1468913
1	Affx-86779886	1469232
1	Affx-86824914	1504426
1	Affx-86824621	1510460
1	Affx-86792405	1510802
1	Affx-86820064	1521288
1	Affx-86838326	1521558
1	Affx-86843971	1529895
1	Affx-86807364	1545864
1	Affx-86776252	1547244
1	Affx-86843696	1549044
1	Affx-86796054	1549362
1	Affx-86830236	1549910
1	Affx-86816551	1551569
1	Affx-86843034	1551741
1	Affx-86787757	1587824
1	Affx-86837247	1587899
1	Affx-86804175	1588702
1	Affx-86800005	1599112
1	Affx-86784457	1601275
1	Affx-86822497	1603293
1	Affx-86823633	1727763
1	Affx-86794042	1729897
1	Affx-86824484	1850401
1	Affx-86825940	1926915
1	Affx-86835663	1955838
1	Affx-86835821	1958016
1	Affx-86817930	2037286
1	Affx-86836998	2102563
1	Affx-86828138	2117269
1	Affx-86789962	2122557
1	Affx-86784711	2123593
1	Affx-86798266	2123828
1	Affx-86807341	2123903
1	Affx-86833072	2124318
1	Affx-86834190	2124606
1	Affx-86807342	2124904
1	Affx-86831916	2126749
1	Affx-86779916	2128242
1	Affx-86777358	2130591
1	Affx-86793721	2131215
1	Affx-86814717	2132177
1	Affx-86804322	2134128
1	Affx-86787605	2134164
1	Affx-86827464	2150291
1	Affx-86798487	2151494
1	Affx-86808787	2152577
1	Affx-86793755	2152880
1	Affx-86783614	2154482
1	Affx-86816025	2175019
1	Affx-86843956	2175855
1	Affx-86799570	2178330
1	Affx-86788842	2182234
1	Affx-86839994	2184113
1	Affx-86815190	2184140
1	Affx-86835827	2184204
1	Affx-86836086	2187690
1	Affx-86775479	2187896
1	Affx-86822300	2190644
1	Affx-86798439	2235704
1	Affx-86783832	2236159
1	Affx-86808495	2237117
1	Affx-86780090	2241532
1	Affx-86812555	2241572
1	Affx-86787555	2254928
1	Affx-86832729	2256335
1	Affx-86824881	2257515
1	Affx-86804361	2257860
1	Affx-86817450	2258207
