LG	Marker	Position
0	Affx-86830325	31317
0	Affx-86799306	32004
0	Affx-86823489	32079
0	Affx-86778480	32403
0	Affx-86805811	50563
0	Affx-86841059	51326
0	Affx-86786063	51491
0	Affx-86782939	56981
0	Affx-86840877	57583
0	Affx-86808478	58292
0	Affx-86843360	58352
0	Affx-86808476	58445
0	Affx-86783843	58693
0	Affx-86822548	80272
0	Affx-86842895	83043
0	Affx-86807017	83895
0	Affx-86784959	84203
0	Affx-86788325	85615
0	Affx-86827241	89958
0	Affx-86813141	97230
0	Affx-86793309	97631
0	Affx-86838069	98464
0	Affx-86820802	99471
0	Affx-86779390	99923
0	Affx-86813138	99992
0	Affx-86813140	101518
0	Affx-86778274	104283
0	Affx-86795940	105450
0	Affx-86781180	109994
0	Affx-86811663	110344
0	Affx-86811664	110536
0	Affx-86788684	112906
0	Affx-86786416	113818
0	Affx-86805468	114027
0	Affx-86817354	116153
0	Affx-86834899	118273
0	Affx-86817860	120024
0	Affx-86790647	130886
0	Affx-86799128	149707
0	Affx-86822283	157686
0	Affx-86794338	214579
0	Affx-86788727	229097
0	Affx-86830647	251796
0	Affx-86839837	276414
0	Affx-86820615	276455
0	Affx-86790056	279962
0	Affx-86776610	281083
0	Affx-86841400	281510
0	Affx-86827154	293547
0	Affx-86826956	340005
0	Affx-86842956	343440
0	Affx-86831631	344321
0	Affx-86812569	351697
0	Affx-86812571	352138
0	Affx-86780075	352343
0	Affx-86812566	353897
0	Affx-86839857	353990
0	Affx-86794875	354621
0	Affx-86799973	355589
0	Affx-86823580	356770
0	Affx-86785346	357649
0	Affx-86806564	357913
0	Affx-86828421	393631
0	Affx-86789136	402048
0	Affx-86836501	402488
0	Affx-86804470	403323
0	Affx-86787428	403375
0	Affx-86778525	413967
0	Affx-86785476	419917
0	Affx-86794504	419973
0	Affx-86820653	420204
0	Affx-86813446	420981
0	Affx-86813448	421459
0	Affx-86835191	422021
0	Affx-86779001	422275
0	Affx-86813454	422374
0	Affx-86813452	422560
0	Affx-86813450	422830
0	Affx-86803880	423977
0	Affx-86788080	424108
0	Affx-86775988	424420
0	Affx-86822262	424557
0	Affx-86800352	424682
0	Affx-86780563	426037
0	Affx-86806704	440232
0	Affx-86806700	440581
0	Affx-86806697	440788
0	Affx-86785215	442361
0	Affx-86797881	443649
0	Affx-86830687	444889
0	Affx-86784473	454665
0	Affx-86807641	455178
0	Affx-86791248	455407
0	Affx-86807643	455859
0	Affx-86814585	458419
0	Affx-86814583	458630
0	Affx-86777520	459579
0	Affx-86791737	459701
0	Affx-86814587	461692
0	Affx-86817120	461943
0	Affx-86828215	505280
0	Affx-86828778	506697
0	Affx-86784486	506720
0	Affx-86775698	509717
0	Affx-86797317	510672
0	Affx-86806964	511011
0	Affx-86784999	512097
0	Affx-86824550	512660
0	Affx-86784177	514611
